SKU Code,SAP Code,SAP Name,Category,Model Code,Model Name,UPC Code,HS Code,Release Date,Season,Capacity(Capacity Unit),Collection Name,Color,Material,Size (mm),Net Weight(Weight Unit),Country of Origin,Care Instructions,Line Name,Operational Status,Sales Grade,Design Grade,SAP Price (KRW),Paid Packaging Options,Product Name (ko),Product Name (en),Product Description (ko),Product Description (en),Collection Name (ko),Collection Name (en),Internal Search Keyword (ko),Internal Search Keyword (en),Sales Availability by Channel
B00000094,17000218,DOT FORK-01WH,FLATWARE > FORK,18000011,DOT FORK,8800338256900,8215992000,2025-12-22,2025,0.000 (),PATTERN,01WH,,27*179*3,46,," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,,1.0,23000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",닷 듀오 세트 블랙,Dot Duo Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 닷 듀오 세트 블랙,Dot Duo Set Black with a Bold black and white dot pattern,닷,Dot,"포크 나이프 세트, 포크 세트, 나이프 세트, 디너 세트, 식사용 세트","fork knife set, knife set, fork set, dinner set, table set",NUF_Official_KR
B00000094,17000217,DOT SPOON-01WH,FLATWARE > SPOON,18000014,DOT SPOON,8800338256917,8215991000,2025-12-22,2025,0.000 (),PATTERN,01WH,,40*180*3,55,," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,,1.0,23000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",닷 듀오 세트 블랙,Dot Duo Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 닷 듀오 세트 블랙,Dot Duo Set Black with a Bold black and white dot pattern,닷,Dot,"포크 나이프 세트, 포크 세트, 나이프 세트, 디너 세트, 식사용 세트","fork knife set, knife set, fork set, dinner set, table set",NUF_Official_KR
B00000093,17000049,WAFFERS SPOON-02,FLATWARE > SPOON,18000033,WAFFERS SPOON,8809907775941,8215991000,2025-09-05,2025,0.000 (),MINI,Silver,,34*126*10,93,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",WAFFERS,CONTINUED,3,3.0,33000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",미니 디저트 스푼 세트,Mini Dessert Spoon Set,섬세한 핸들 디테일과 정제된 균형으로 완성한 미니 디저트 스푼 세트,Mini Dessert Spoon Set with delicate handle details and refined balance,미니,Mini,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000093,17000004,BALLOON SPOON-02,FLATWARE > SPOON,18000003,BALLOON SPOON,8809907775330,8215991000,2025-09-05,2025,0.000 (),MINI,Silver,,27*88*5,48,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",BALLOON,CONTINUED,3,3.0,26000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",미니 디저트 스푼 세트,Mini Dessert Spoon Set,섬세한 핸들 디테일과 정제된 균형으로 완성한 미니 디저트 스푼 세트,Mini Dessert Spoon Set with delicate handle details and refined balance,미니,Mini,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000092,17000046,PILLOW SPOON-02,FLATWARE > SPOON,18000023,PILLOW SPOON,8809907775910,8215991000,2025-09-05,2025,0.000 (),MINI,Silver,,32*114*10,94,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",PILLOW,CONTINUED,3,3.0,33000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",미니 디저트 듀오 세트,Mini Dessert Duo Set,입체적인 볼륨과 정제된 엣지 디테일로 완성한 미니 디저트 듀오 세트,Mini Dessert Duo Set with sculptural volume and refined edge,미니,Mini,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000092,17000001,BALLOON FORK-02,FLATWARE > FORK,18000002,BALLOON FORK,8809907775309,8215992000,2025-09-05,2025,0.000 (),MINI,Silver,,27*89*5,55,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",BALLOON,CONTINUED,3,3.0,26000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",미니 디저트 듀오 세트,Mini Dessert Duo Set,입체적인 볼륨과 정제된 엣지 디테일로 완성한 미니 디저트 듀오 세트,Mini Dessert Duo Set with sculptural volume and refined edge,미니,Mini,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000091,17000192,NERD DESSERT FORK-02BK,FLATWARE > FORK,18000113,NERD DESSERT FORK,8800294295579,8215992000,2025-09-05,2025,0.000 (),STRAIGHT,"Silver,Black",,27*145*3,37,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",NERD,CONTINUED,1,1.0,18000,,너드 디저트 세트,Nerd Dessert Set,간결하고 언밸런스한 구조미가 돋보이는 너드 디저트 세트,"Nerd Dessert Set with a simple, asymmetrical structure",너드,Nerd,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000091,17000193,NERD DESSERT SPOON-02BK,FLATWARE > SPOON,18000114,NERD DESSERT SPOON,8800294295586,8215991000,2025-09-05,2025,0.000 (),STRAIGHT,"Silver,Black",,32*145*3,46,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",NERD,CONTINUED,1,1.0,18000,,너드 디저트 세트,Nerd Dessert Set,간결하고 언밸런스한 구조미가 돋보이는 너드 디저트 세트,"Nerd Dessert Set with a simple, asymmetrical structure",너드,Nerd,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000091,17000194,NERD BUTTER KNIFE-02BK,FLATWARE > KNIFE,18000115,NERD BUTTER KNIFE,8800294295593,8215999000,2025-09-05,2025,0.000 (),STRAIGHT,"Silver,Black",,27*150*5,63,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",NERD,CONTINUED,1,1.0,18000,,너드 디저트 세트,Nerd Dessert Set,간결하고 언밸런스한 구조미가 돋보이는 너드 디저트 세트,"Nerd Dessert Set with a simple, asymmetrical structure",너드,Nerd,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000090,17000203,CRACKER FORK-02BR,FLATWARE > FORK,18000118,CRACKER FORK,8800294297344,8215992000,2025-09-05,2025,0.000 (),MINI,"Silver,Brown",,45*91*6,21,중국," | KO: 어린이의 손이 닿지 않는 곳에 보관
전자레인지, 식기세척기, 오븐, 인덕션 사용 금지
사용 전 세척, 부드러운 스펀지와 중성세제로 세척 | EN: Store out of reach of children
Do not use in microwave, dishwasher, oven, or on induction cooktops
Wash thoroughly before first use, Use a soft sponge and mild detergent",CRACKER,CONTINUED,3,3.0,24000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",크래커 듀오 세트,Cracker Duo Set,크래커 모티프 핸들이 귀여운 상상력을 자극하는 미니 사이즈 듀오 세트,Cracker Duo Set with Mini-fork with a cracker-motif handle that playfully sparks the imagination,미니,Mini,"포크 나이프 세트, 포크 세트, 나이프 세트, 디너 세트, 식사용 세트","fork knife set, knife set, fork set, dinner set, table set",NUF_Official_KR
